-------------------------------Rules------------------------------
R 1:                2, 4 ==> 1
R 2:                1, 7 ==> 2
R 3:                2, 7 ==> 1
R 4:                1, 8 ==> 2
R 5:                2, 8 ==> 1
R 6:                2, 9 ==> 1
R 7:                3, 4 ==> 1
R 8:                1, 5 ==> 3
R 9:                1, 6 ==> 3
R10:                3, 7 ==> 1
R11:                1, 5 ==> 4
R12:                1, 8 ==> 4
R13:                4, 9 ==> 1
R14:                1, 5 ==> 6
R15:                1, 5 ==> 9
R16:                5, 9 ==> 1
R17:                1, 8 ==> 7
R18:                2, 6 ==> 3
R19:                2, 8 ==> 4
R20:                5, 7 ==> 2
R21:                2, 8 ==> 7
R22:                3, 5 ==> 4
R23:                4, 5 ==> 3
R24:                4, 9 ==> 3
R25:                3, 5 ==> 6
R26:                5, 9 ==> 3
R27:                3, 9 ==> 6
R28:                4, 5 ==> 6
R29:                5, 9 ==> 4
R30:                4, 9 ==> 6
R31:                4, 8 ==> 7
R32:                7, 8 ==> 4
R33:                5, 7 ==> 6
R34:                5, 9 ==> 6
R35:                2, 3, 4 ==> 1
R36:                1, 2, 6 ==> 3
R37:                2, 3, 6 ==> 1
R38:                1, 3, 7 ==> 2
R39:                2, 3, 7 ==> 1
R40:                2, 4, 7 ==> 1
R41:                2, 8 ==> 1, 4
R42:                1, 8 ==> 2, 4
R43:                1, 2, 8 ==> 4
R44:                1, 4, 8 ==> 2
R45:                2, 4, 8 ==> 1
R46:                2, 8 ==> 1, 7
R47:                1, 8 ==> 2, 7
R48:                1, 2, 8 ==> 7
R49:                1, 7, 8 ==> 2
R50:                2, 7, 8 ==> 1
R51:                1, 5 ==> 3, 4
R52:                1, 3, 5 ==> 4
R53:                1, 4, 5 ==> 3
R54:                1, 3, 9 ==> 4
R55:                1, 5 ==> 3, 6
R56:                1, 3, 5 ==> 6
R57:                1, 5, 6 ==> 3
R58:                5, 9 ==> 1, 3
R59:                1, 5 ==> 3, 9
R60:                1, 3, 5 ==> 9
R61:                1, 5, 9 ==> 3
R62:                3, 5, 9 ==> 1
R63:                1, 7, 9 ==> 3
R64:                1, 5 ==> 4, 6
R65:                1, 4, 5 ==> 6
R66:                1, 5, 6 ==> 4
R67:                5, 9 ==> 1, 4
R68:                1, 5 ==> 4, 9
R69:                1, 4, 5 ==> 9
R70:                1, 5, 9 ==> 4
R71:                4, 5, 9 ==> 1
R72:                1, 6, 9 ==> 4
R73:                1, 8 ==> 4, 7
R74:                1, 4, 8 ==> 7
R75:                1, 7, 8 ==> 4
R76:                1, 7, 9 ==> 4
R77:                5, 9 ==> 1, 6
R78:                1, 5 ==> 6, 9
R79:                1, 5, 6 ==> 9
R80:                1, 5, 9 ==> 6
R81:                5, 6, 9 ==> 1
R82:                2, 8 ==> 4, 7
R83:                2, 4, 7 ==> 8
R84:                2, 4, 8 ==> 7
R85:                2, 7, 8 ==> 4
R86:                5, 7 ==> 2, 6
R87:                2, 5, 6 ==> 7
R88:                2, 5, 7 ==> 6
R89:                2, 6, 7 ==> 5
R90:                5, 6, 7 ==> 2
R91:                4, 5 ==> 3, 6
R92:                3, 5 ==> 4, 6
R93:                3, 4, 5 ==> 6
R94:                3, 5, 6 ==> 4
R95:                4, 5, 6 ==> 3
R96:                5, 9 ==> 3, 4
R97:                3, 5, 9 ==> 4
R98:                4, 5, 9 ==> 3
R99:                3, 6, 7 ==> 4
R100:                4, 6, 7 ==> 3
R101:                3, 4, 7 ==> 9
R102:                3, 7, 9 ==> 4
R103:                4, 7, 9 ==> 3
R104:                5, 9 ==> 3, 6
R105:                3, 5, 9 ==> 6
R106:                5, 6, 9 ==> 3
R107:                3, 6, 7 ==> 9
R108:                6, 7, 9 ==> 3
R109:                5, 9 ==> 4, 6
R110:                4, 5, 9 ==> 6
R111:                5, 6, 9 ==> 4
R112:                4, 6, 7 ==> 9
R113:                6, 7, 9 ==> 4
R114:                2, 8 ==> 1, 4, 7
R115:                1, 8 ==> 2, 4, 7
R116:                2, 7, 8 ==> 1, 4
R117:                2, 4, 8 ==> 1, 7
R118:                2, 4, 7 ==> 1, 8
R119:                1, 7, 8 ==> 2, 4
R120:                1, 4, 8 ==> 2, 7
R121:                1, 2, 8 ==> 4, 7
R122:                1, 2, 4, 7 ==> 8
R123:                1, 2, 4, 8 ==> 7
R124:                1, 2, 7, 8 ==> 4
