-------------------------------Rules------------------------------
R 1:                1 ==> 2
R 2:                2 ==> 1
R 3:                1 ==> 3
R 4:                3 ==> 1
R 5:                1 ==> 4
R 6:                4 ==> 1
R 7:                5 ==> 1
R 8:                7 ==> 1
R 9:                8 ==> 1
R10:                2 ==> 3
R11:                3 ==> 2
R12:                4 ==> 2
R13:                5 ==> 2
R14:                6 ==> 2
R15:                7 ==> 2
R16:                8 ==> 2
R17:                9 ==> 2
R18:                5 ==> 3
R19:                6 ==> 3
R20:                8 ==> 3
R21:                9 ==> 3
R22:                7 ==> 4
R23:                8 ==> 4
R24:                8 ==> 5
R25:                9 ==> 6
R26:                1, 2 ==> 3
R27:                1, 3 ==> 2
R28:                2, 3 ==> 1
R29:                4 ==> 1, 2
R30:                1, 4 ==> 2
R31:                2, 4 ==> 1
R32:                1, 5 ==> 2
R33:                2, 5 ==> 1
R34:                1, 6 ==> 2
R35:                2, 6 ==> 1
R36:                1, 7 ==> 2
R37:                2, 7 ==> 1
R38:                1, 8 ==> 2
R39:                2, 8 ==> 1
R40:                1, 9 ==> 2
R41:                2, 9 ==> 1
R42:                1, 4 ==> 3
R43:                3, 4 ==> 1
R44:                1, 5 ==> 3
R45:                3, 5 ==> 1
R46:                1, 6 ==> 3
R47:                3, 6 ==> 1
R48:                3, 7 ==> 1
R49:                1, 8 ==> 3
R50:                3, 8 ==> 1
R51:                1, 9 ==> 3
R52:                3, 9 ==> 1
R53:                1, 5 ==> 4
R54:                4, 5 ==> 1
R55:                4, 6 ==> 1
R56:                7 ==> 1, 4
R57:                1, 7 ==> 4
R58:                4, 7 ==> 1
R59:                1, 8 ==> 4
R60:                4, 8 ==> 1
R61:                1, 9 ==> 4
R62:                4, 9 ==> 1
R63:                5, 6 ==> 1
R64:                5, 7 ==> 1
R65:                1, 8 ==> 5
R66:                5, 8 ==> 1
R67:                1, 9 ==> 5
R68:                5, 9 ==> 1
R69:                6, 7 ==> 1
R70:                6, 8 ==> 1
R71:                1, 9 ==> 6
R72:                1, 8 ==> 7
R73:                7, 8 ==> 1
R74:                7, 9 ==> 1
R75:                8, 9 ==> 1
R76:                2, 4 ==> 3
R77:                3, 4 ==> 2
R78:                5 ==> 2, 3
R79:                2, 5 ==> 3
R80:                3, 5 ==> 2
R81:                6 ==> 2, 3
R82:                2, 6 ==> 3
R83:                3, 6 ==> 2
R84:                2, 7 ==> 3
R85:                3, 7 ==> 2
R86:                2, 8 ==> 3
R87:                3, 8 ==> 2
R88:                9 ==> 2, 3
R89:                2, 9 ==> 3
R90:                3, 9 ==> 2
R91:                4, 5 ==> 2
R92:                4, 6 ==> 2
R93:                2, 7 ==> 4
R94:                4, 7 ==> 2
R95:                2, 8 ==> 4
R96:                4, 8 ==> 2
R97:                4, 9 ==> 2
R98:                5, 6 ==> 2
R99:                2, 7 ==> 5
R100:                5, 7 ==> 2
R101:                2, 8 ==> 5
R102:                5, 8 ==> 2
R103:                2, 9 ==> 5
R104:                5, 9 ==> 2
R105:                6, 7 ==> 2
R106:                6, 8 ==> 2
R107:                9 ==> 2, 6
R108:                2, 9 ==> 6
R109:                6, 9 ==> 2
R110:                7, 8 ==> 2
R111:                7, 9 ==> 2
R112:                8, 9 ==> 2
R113:                4, 5 ==> 3
